Sensor-57,Sensor-134,Sensor-76,Sensor-28,Sensor-164,Sensor-369,Sensor-108,Sensor-81,Sensor-449,Sensor-319
0.9298,1011.8444,-0.0305,7.26,0.156,0.0027,0.0792,-0.0141,0.3303,1.4537
0.9348,1007.2099,-0.0218,7.3512,0.062,0.0041,0.0239,-0.0265,0.3985,2.3311
0.9315,1007.2099,0.0056,7.2918,0.182,0.0015,-0.0457,-0.0187,0.3007,2.2403
0.9314,1004.78,-0.0384,7.3548,0.131,0.005,-0.1249,-0.021,0.8123,4.6656
0.9314,1004.78,-0.0161,7.3007,0.082,0.0039,-0.3714,-0.0262,0.7497,4.4622
0.9255,1012.2367,-0.0118,7.3557,0.059,0,0,-0.0195,0.1809,1.8665
0.932,1009.8612,-0.0075,7.3418,0.141,0.0024,0.0157,0.0302,0.413,2.2801
0.9376,1012.2367,-0.0395,7.3513,0.16,0.0022,-0.0375,-0.0227,0.292,2.2933
0.9297,1011.8444,-0.0449,7.306,0.148,0.0019,-0.0268,-0.0409,0.1838,4.6073
0.9315,1011.8444,0.0114,7.2447,0.139,0.007,-0.0334,-0.0355,0.3303,1.563
0.9252,1011.8444,0.0059,7.389,0.122,0.0028,0.0523,-0.0258,0.8804,1.5885
0.9256,1007.2099,0.0229,7.2588,0.18,0.0038,0.0193,-0.0276,0.292,1.7735
0.932,1007.2099,0.0023,7.2937,0.172,0.003,-0.0954,-0.0108,0.1838,1.7291
0.927,1011.5767,-0.0073,7.296,0.061,0.0049,0.0049,-0.0202,0.15,2.2963
0.9345,1009.36,-0.0114,7.2782,0.21,0.0036,-0.2033,-0.0097,0.1838,1.3954
0.9345,1004.78,-0.0218,7.2745,0.06,0.008,0.3211,-0.0197,0.2142,1.61
0.9297,1009.36,-0.0038,7.1937,0.135,0.0032,-0.0043,-0.0131,0.128,3.8905
0.9341,1009.36,0.0054,7.3827,0.115,0.003,0.0275,-0.0401,0.8703,1.8804
0.9315,1009.8612,-0.0049,7.2973,0.117,0.0042,-0.1587,0.0404,0.2591,1.6645
0.9279,1009.8612,-0.0198,7.3045,0.118,0.0022,-0.0476,0.0251,0.2207,4.1278
0.9314,1007.2099,-0.0385,7.2742,0.11,0.002,0.1565,0.0239,0.7497,3.5664
0.9345,1009.36,-0.0086,7.3333,0.073,0.0034,-0.2337,-0.0127,0.1757,3.0745
0.9337,1009.36,-0.0027,7.2908,0.136,0.0034,-0.1038,-0.0109,0.7497,1.6123
0.9297,1009.36,-0.0155,7.2813,0.158,0.004,-0.0513,-0.0269,0.128,4.219
0.9346,1009.8612,0.0096,7.2168,0.086,0.0046,-0.1955,0.0008,0.2356,1.7072
0.9301,1007.7856,0.0094,5.1145,0.057,0.0041,-0.0727,-0.0068,0.2709,4.0625
0.9298,1007.7856,-0.0255,7.2323,0.138,0.0029,-0.1376,0.0095,0.1459,2.0022
0.9348,1007.7856,-0.013,7.2755,0.075,0.0023,-0.0717,-0.0052,0.1964,2.1282
0.9298,1012.2367,0.0054,7.246,0.131,0.0031,0.0346,-0.0314,0.3771,1.4175
0.932,1014.2889,-0.011,7.2942,0.133,0.0022,-0.0486,-0.0164,0.413,2.7669
0.932,1014.2889,-0.0225,7.2445,0.077,0.0019,0.0509,-0.0209,0.413,2.5179
0.9317,1014.2889,-0.0163,7.2477,0.116,0.0025,-0.027,-0.0221,0.413,4.323
0.932,1014.2889,-0.0052,7.4168,0.175,0.0016,-0.0756,-0.025,0.413,2.9771
0.9315,1014.2889,-0.0019,7.2978,0.174,0.0016,0.0635,-0.029,0.3771,1.5124
0.9329,1013.7167,-0.0119,7.317,0.104,0,0,-0.0015,0.203,5.5582
0.9304,1013.7167,-0.0246,7.2617,0.114,0.0019,0.0022,0.0115,0.3985,4.2538
0.9315,1013.7167,0.0011,7.4263,0.099,0.0018,-0.0399,-0.0124,0.3007,1.5594
0.9336,1013.7167,-0.0209,7.2145,0.314,0,0,-0.0097,0.2008,10.0153
0.927,1009.8612,-0.0101,7.257,0.108,0.0035,0.0312,0.0439,0.2126,1.9657
0.9297,1007.7856,0.0325,7.2515,0.097,0.0023,0.0075,-0.0285,0.2154,4.5564
0.9298,1011.8444,-0.0169,7.242,0.138,0.0025,0.0817,-0.0112,0.3771,1.4261
0.9345,1013.7167,-0.0266,7.309,0.119,0.004,-0.0629,0.0041,0.1757,2.1038
0.9252,1013.7167,-0.0467,7.399,0.138,0.0028,0.0188,0.0009,0.2291,1.4183
0.9298,1007.7856,0.0026,7.1638,0.217,0.003,0.025,-0.0094,0.3771,1.317
0.9161,996.759,-0.0146,3.6572,0.216,0.0028,-0.0575,-0.0081,0.1166,4.5361
0.9175,993.8988,-0.0167,7.4097,0.153,0.0032,-0.0277,-0.0054,0.168,4.0605
0.9332,992.6206,-0.014,5.155,0.057,0.003,-0.0078,-0.0053,0.0873,4.3745
0.918,995.6526,0.0368,7.324,0.145,0.0017,-0.0679,-0.0058,0.2774,3.831
0.9168,993.1386,0.0015,7.326,0.083,0.0031,-0.0401,-0.002,0.2839,4.4524
0.9223,997.4334,0.0123,7.294,0.221,0.0022,0.013,0.0071,0.1387,3.8229
0.9228,997.5587,-0.0095,7.2602,0.053,0.0021,0.0176,-0.0003,0.252,4.4097
0.9175,996.759,-0.0149,7.3388,0.224,0.0041,0.1073,0.0246,0.2631,4.5627
0.9312,1000.1451,-0.0076,3.6052,0.233,0.0025,-0.0153,-0.0072,0.1166,4.6802
0.9161,996.759,-0.0231,7.2538,0.123,0.0014,0.0476,0.0149,0.3651,4.1875
0.9312,993.8988,-0.0314,7.5518,0.177,0.0047,0.068,-0.0046,0.4167,3.9054
0.8766,996.759,-0.01,7.1963,0.187,0.0022,0.1811,0.0077,0.2453,1.7525
0.9332,996.759,0.0126,5.1418,0.085,0.0045,0.0236,0.0256,0.0873,4.11
0.934,997.4334,0.0109,7.1503,0.174,0.0034,-0.1095,0.0095,0.3651,3.9549
0.9191,993.8988,0.0081,5.1348,0.064,0.0027,-0.0731,-0.0181,0.0873,4.4679
0.9185,1006.0044,0.0047,7.3697,0.138,0.003,-0.0217,0.0006,0.2728,4.5404
0.9323,1006.0044,-0.0018,7.3125,0.133,0.0038,-0.1049,-0.0076,0.271,1.9979
0.9312,1006.0044,0.0105,7.3262,0.168,0.0026,0.0188,-0.0037,0.4189,4.3012
0.9325,1006.0044,-0.0134,7.3003,0.083,0.0032,-0.0084,-0.0022,0.168,2.6381
0.9185,1006.0044,0.0303,7.2893,0.195,0.003,-0.0369,-0.0035,0.2182,4.739
0.9324,1006.0044,0.0214,7.2327,0.066,0.0045,-0.0329,-0.0148,0.1431,3.9246
0.9191,996.759,-0.004,5.112,0.124,0.0026,0.0021,0.0058,0.0873,4.944
0.9312,1002.4862,0.0263,7.3573,0.181,0.0018,0.0203,-0.0007,0.2512,4.0564
0.9172,997.157,0.0073,5.0743,0.092,0.0037,-0.193,0.0102,0.3443,3.8444
0.9312,1002.4862,0.0212,5.1603,0.074,0.0025,0.025,-0.0028,0.2512,4.2931
0.9185,1002.4862,0.0311,5.1523,0.074,0.0033,-0.0033,0.0144,0.2512,4.2532
0.9324,995.4129,0.0173,7.269,0.157,0.0022,-0.0348,-0.0192,0.2765,3.9605
0.9185,1002.4862,0.0155,5.0995,0.105,0.0026,0.0947,0.0059,0.2512,4.7654
0.9197,995.4129,0.0105,7.3428,0.14,0.0047,-0.0298,-0.0012,0.2883,3.966
0.9315,996.6426,-0.022,7.3492,0.049,0.0033,-0.0639,0.0229,0.0595,2.8539
0.932,1002.4862,0.0061,7.303,0.097,0.006,-0.0637,0.0025,0.2185,3.0288
0.9201,999.9423,0.0129,7.2262,0.111,0.0025,-0.0326,-0.0175,0.236,4.0327
0.9302,995.0531,0.0022,5.099,0.072,0.0025,-0.1931,-0.0232,0.3495,1.6075
0.9302,995.0531,-0.0034,5.1588,0.053,0.0021,0.0123,-0.0365,0.3495,1.8753
0.9302,992.304,-0.0027,5.1155,0.088,0.0025,-0.007,-0.0186,0.3495,1.9514
0.9302,992.304,0.0219,5.202,0.063,0.0036,-0.0501,-0.0151,0.3495,2.1185
0.9185,995.0531,-0.0081,7.3948,0.129,0.0025,-0.0032,0.0074,0.2631,4.2925
0.923,998.1757,-0.0186,7.1467,0.101,0.0024,0.0499,0.004,0.0595,4.2076
0.9302,992.304,0.0061,5.2025,0.081,0.0031,-0.0749,-0.0183,0.3495,2.1903
0.9324,998.1757,-0.0366,7.2877,0.073,0.004,-0.0173,-0.0071,0.299,4.1864
0.9187,999.9423,0.0382,7.2212,0.104,0.003,-0.0259,-0.0293,0.251,4.6658
0.9302,993.4209,0.0055,5.1793,0.04,0.003,0.0331,-0.0181,0.3495,2.4238
0.9286,993.4209,-0.0068,7.41,0.18,0.0026,0.1815,-0.0076,0.2279,2.347
0.9303,990.8618,0.0061,7.3955,0.139,0.0039,0.0475,0.014,0.2279,1.5266
0.9266,990.8618,0.025,7.1818,0.106,0.0024,-0.1185,-0.0094,0.2098,2.3218
0.9303,990.6176,-0.0007,7.337,0.225,0.0034,0.0888,-0.0321,0.3639,2.1623
0.9219,990.8618,-0.0106,7.284,0.145,0.0034,-0.1175,0.0035,0.219,4.4713
0.9097,984.0379,-0.0048,7.3635,0.096,0.0027,-0.0388,-0.0249,0.4167,4.4429
0.9205,986.7484,-0.0248,7.2532,0.036,0.0037,-0.0514,0.0039,0.294,4.8205
0.9317,986.7484,0.0023,7.2177,0.144,0.0034,-0.081,0.0001,0.3569,3.8554
0.9304,984.0379,0.0034,7.3083,0.159,0.002,0.0226,0.0105,0.2515,2.0814
0.9325,988.7396,0.001,7.2457,0.122,0.0028,0.1129,0.0014,0.2933,4.2464
0.9185,988.7396,0.004,7.0595,0.162,0.0033,0.0326,0.0178,0.0595,4.5801
0.9304,990.6176,-0.0045,7.2083,0.119,0.0022,0.0166,-0.0138,0.377,2.3867
0.9203,988.7396,0.014,7.134,0.111,0.0026,-0.0111,-0.034,0.4049,4.3116
0.9266,986.9524,0.0043,7.3878,0.124,0.0036,0.0929,-0.0177,0.2098,2.0828
0.9306,986.9524,-0.0122,7.2503,0.089,0.0032,-0.0171,-0.0161,0.294,4.657
0.9204,985.77,0.0086,7.195,0.192,0.0029,-0.1522,-0.0272,0.2657,4.3716
0.9097,986.9524,0.0146,7.2343,0.159,0.0049,0.0913,-0.0179,0.6908,4.2691
0.9187,986.9524,-0.004,7.4597,0.269,0.0025,0.0349,-0.019,0.4189,4.3458
0.9317,986.9524,0.0074,7.329,0.074,0.0033,-0.0255,-0.0245,0.1196,4.4792
0.9204,986.9524,-0.024,7.1635,0.055,0.0028,-0.003,-0.0302,0.4081,4.763
0.9202,985.77,0.0031,7.2072,0.055,0.0039,0.0382,-0.0317,0.377,4.5285
0.8755,986.7484,0.0306,5.1753,0.08,0.0027,0.0485,-0.0184,0.3498,1.1942
0.9305,986.9524,0.0026,7.2932,0.063,0.003,0.0282,-0.0138,0.1008,2.149
0.9191,996.759,-0.0075,5.1025,0.064,0.0037,-0.1177,0.0404,0.0873,4.6552
0.9257,986.9524,-0.0105,7.3618,0.233,0.0032,-0.0245,0.009,0.2279,2.6097
0.9097,986.9524,0.0208,7.105,0.165,0.0031,-0.0746,0.0011,0.1319,4.3727
0.9286,986.7484,0.0199,7.3575,0.118,0.0026,0.0214,0.0277,0.2098,2.4822
0.9332,1010.0694,-0.0224,7.2685,0.138,0.0022,-0.0396,-0.0305,0.3098,4.3663
0.9306,1010.0694,-0.0286,7.2542,0.095,0.0032,-0.0089,-0.0149,0.2628,4.7201
0.9185,1010.0694,-0.0151,7.2513,0.154,0.0041,0.0259,-0.0176,0.2774,4.3898
0.92,984.0379,-0.0003,5.0393,0.093,0.0017,0.0403,0.0006,0.3495,4.826
0.9082,1010.0694,-0.0392,3.2448,0.34,0.0043,0.0109,-0.0082,0.3314,4.1753
0.9306,1015.5533,-0.0134,5.0362,0.046,0.0023,-0.0682,-0.013,0.3495,2.1191
0.9266,1015.5533,-0.0161,7.2803,0.149,0.003,0.0494,-0.0348,0.2098,2.2471
0.9317,1010.0694,-0.0209,7.1595,0.173,0.0036,-0.0381,-0.0193,0.377,4.2535
0.9336,1004.653,-0.0127,7.3252,0.068,0.0022,-0.1061,0.011,0.3098,4.1445
0.9205,1015.5533,-0.043,7.2177,0.079,0.0048,-0.0709,-0.0227,0.294,4.2718
0.9246,1001.6042,0.0066,7.249,0.22,0.0026,-0.0084,0.0056,0.2657,2.0563
0.9317,1004.653,-0.0031,5.129,0.024,0.0016,0.045,-0.0151,0.3495,1.5922
0.9202,1002.7238,-0.0242,7.0012,0.117,0.0019,-0.0263,-0.0235,0.4081,4.5877
0.9161,997.5587,-0.0162,7.3025,0.059,0.0037,-0.0699,0.01,0.3651,4.8365
0.9207,1004.653,-0.0356,7.2348,0.147,0.003,0.0045,0.0031,0.3569,4.0651
0.9187,1002.7238,-0.0059,7.2735,0.053,0.0028,-0.1297,-0.0081,0.2679,4.5445
0.92,1015.5533,-0.011,7.2565,0.219,0.0022,0.0885,0.0152,0.284,4.5945
0.92,1004.653,-0.0429,7.1593,0.112,0.0021,0.0539,-0.0069,0.3858,5.0779
0.9202,1015.5533,-0.0082,7.3005,0.125,0.0029,-0.0045,0.0082,0.1196,4.6872
0.9205,1004.653,-0.0057,7.3738,0.182,0.0025,0.0967,-0.0012,0.3498,4.7416
0.9337,1000.1451,-0.0309,7.3297,0.169,0.0069,0.0279,-0.0014,0.2142,2.7437
0.9306,1015.5533,-0.0191,3.5215,0.247,0.0025,-0.0089,0.0114,0.3314,4.4525
0.9205,1010.0694,-0.0199,7.305,0.082,0.0033,-0.0317,-0.0157,0.3569,4.5484
0.9317,1010.8564,0.0105,7.165,0.09,0.0049,-0.047,0.0122,0.1319,4.3341
0.9097,1001.6042,-0.0185,3.6015,0.206,0.0015,0.0365,0.0338,0.1166,4.9224
0.9097,1011.88,-0.0346,7.3145,0.091,0.0024,-0.0011,-0.026,0.4351,4.7981
0.9304,1011.88,-0.0067,7.2393,0.143,0.003,-0.1163,-0.0122,0.6908,2.4163
0.9332,1011.88,-0.0156,7.448,0.076,0.0022,0.0361,0.0027,0.4351,4.1906
0.9187,1011.88,-0.0174,7.3335,0.186,0.0029,0.0561,0.0037,0.284,4.3204
0.9082,1015.5533,-0.0446,7.2343,0.13,0.0033,-0.1536,-0.0432,0.377,4.7303
0.9312,1002.1417,-0.0223,5.1885,0.039,0.002,0.0709,-0.0201,0.2014,2.8493
0.9139,1006.4594,-0.0139,7.4305,0.165,0.0028,-0.0351,-0.1092,0.3332,4.4277
0.9267,1006.4594,0.0092,7.2402,0.08,0.0031,-0.0631,-0.0141,0.2677,2.4076
0.9267,1006.4594,0.0157,7.3445,0.13,0.0028,-0.3074,-0.0378,0.1666,2.6279
0.9231,1006.8463,-0.0336,7.2113,0.087,0.003,-0.0385,-0.0477,0.1666,2.6625
0.9296,996.2552,-0.0261,1.4365,0.89,0,0,-0.0795,0.8512,2.7669
0.9326,1013.0161,-0.038,1.5685,0.95,0.0023,0.0912,0.0137,0.299,1.9597
0.9324,1013.0161,-0.0227,7.4067,0.148,0.003,0.0898,-0.0023,0.2751,2.516
0.933,1009.9942,-0.0369,7.3487,0.088,0.0028,-0.1774,0.0968,0.2252,3.094
0.933,1013.0161,-0.0241,3.2887,0.084,0.0051,-0.0402,-0.0902,0.3464,2.9023
0.9287,1011.7456,-0.0392,7.1133,0.16,0.0025,0.0661,0.0897,0.9109,2.8035
0.9326,1009.9942,-0.0327,7.308,0.089,0.0021,0.1884,0.1009,0.1794,1.789
0.9287,1013.0161,-0.0404,7.1333,0.159,0.0029,0.0214,-0.0805,0.7494,2.7382
0.9238,1010.4833,-0.0109,7.0992,0.036,0.0036,0.0985,0.0022,0.7347,1.837
0.9326,1010.4833,-0.0156,1.5313,0.918,0.0049,0.0771,-0.0003,0.2146,2.1341
0.9334,1011.7456,-0.0382,3.1147,0.06,0.0046,-0.1328,0.1186,0.2252,3.3509
0.9313,1010.4833,-0.0038,7.457,0.081,0.0034,0.0168,-0.0173,0.2887,2.0755
0.933,1011.7456,-0.0607,0.7198,0.896,0.0075,-0.0007,0.0869,0.9109,3.9127
0.9287,1011.7456,-0.04,7.1523,0.067,0.0026,-0.0191,0.0919,0.9109,2.8683
0.9326,1013.5244,-0.0415,7.3923,0.151,0.0019,0.0782,-0.0723,0.1794,1.8487
0.9324,1010.4833,-0.0225,7.2853,0.104,0.0037,-0.0769,-0.0001,0.1689,2.3227
0.9238,1010.4833,-0.0061,6.9825,0.057,0.0036,0.0549,-0.0027,0.8637,2.2008
0.934,999.2814,-0.0311,7.3293,0.115,0.0021,0.0858,0.0094,0.3063,3.1049
0.93,1001.9434,-0.008,2.323,0.926,0.0032,-0.2393,-0.0889,0.8333,2.4709
0.9324,1007.6964,-0.0239,1.4655,0.901,0.0038,-0.0929,-0.0885,0.8512,2.9369
0.9323,1007.6964,-0.0308,2.2195,0.947,0.0029,-0.0091,-0.0827,0.6748,1.7697
0.9238,1004.0281,-0.0447,1.4932,0.891,0.0052,0.1649,-0.0631,0.8512,1.8566
0.9291,1004.0281,-0.0219,7.3415,0.163,0.0053,0.0036,-0.0687,0.3063,2.5376
0.9326,1007.6964,-0.0266,7.3942,0.125,0.0025,0.019,0.02,0.2146,2.0486
0.93,1007.6964,-0.0431,2.2767,0.906,0.0036,0.0895,-0.0844,0.9135,2.9247
0.934,1007.6964,-0.0416,7.105,0.1,0.0035,-0.041,-0.0774,0.9135,2.8035
0.9238,1004.407,-0.068,7.4295,0.074,0.0029,0.0561,-0.092,0.362,2.2275
0.9342,1008.3844,-0.045,7.3483,0.141,0.0027,-0.0668,-0.0174,0.2751,2.5607
0.93,1006.1533,-0.0769,7.317,0.103,0.003,-0.0292,-0.0834,0.3063,2.7549
0.934,1006.1589,-0.0694,1.4697,0.899,0,0,0.0081,0.9109,3.0746
0.9342,1003.7344,-0.0933,7.094,0.088,0.0033,0.0178,-0.0732,0.8522,2.8304
0.9323,1001.7862,0.0157,7.366,0.094,0.0042,-0.0184,-0.0945,0.2056,1.8268
0.9269,1001.7862,-0.0015,7.301,0.149,0.0038,-0.1891,-0.0897,0.3727,2.2458
0.9326,1001.7862,-0.0204,7.0185,0.107,0.0027,0.0288,-0.0916,0.8111,2.2788
0.9329,1001.7862,-0.0769,7.065,0.079,0,0,-0.0848,0.7494,3.2209
0.9238,1001.7862,-0.0989,7.3473,0.108,0,0,-0.0723,0.362,2.1272
0.9269,1001.7862,-0.027,7.3185,0.177,0,0,-0.0922,0.1706,2.0556
0.9238,1001.2992,-0.0328,7.4305,0.14,0.003,0.0237,0.078,0.362,1.883
0.9238,1006.4114,-0.038,1.4625,0.913,0.0039,0.0555,-0.094,0.8512,1.9339
0.9342,1001.2992,-0.0973,7.6588,0.086,0.0059,0.1049,0.0994,0.3464,2.4513
0.933,1007.4191,-0.0229,4.8982,0.113,0.0021,0.168,-0.0881,0.9368,2.3878
0.9291,1006.4114,-0.0316,7.1348,0.145,0.0044,0.0355,-0.0966,0.9109,2.368
0.933,1007.4191,0.0179,4.9697,0.122,0.003,-0.0988,-0.0716,0.9368,5.6937
0.9329,1007.4191,-0.0265,7.0365,0.093,0.0037,0.1617,-0.0671,0.9135,3.5742
0.934,1006.4114,0.0097,3.0705,0.074,0.0048,-0.2233,-0.0853,0.8333,2.6778
0.9238,1001.2992,-0.1049,7.3447,0.08,0.0041,0.0661,0.0923,0.2056,2.0001
0.9329,1007.4191,-0.0167,7.0128,0.057,0.0032,-0.0565,-0.0745,0.9135,3.0502
0.934,1006.1613,-0.088,7.4473,0.097,0.0041,0.0611,0.0832,0.3063,3.1289
0.93,1004.2077,-0.0078,7.1745,0.152,0,0,-0.0741,0.8111,2.4015
0.933,1006.1613,-0.0132,5.1018,0.094,0.0033,0.1264,0.1111,0.1857,2.4802
0.9329,1006.4114,-0.0929,2.1907,0.899,0.0036,0.0491,-0.0839,0.9135,3.5441
0.9318,1006.1613,-0.0208,7.357,0.109,0.0026,0.0665,-0.0038,0.2252,2.4213
0.9318,1006.1613,-0.01,7.3712,0.169,0.0026,-0.0444,0.0087,0.2327,2.2522
0.9329,1001.0291,-0.0363,4.9877,0.139,0.0063,0.0352,-0.0136,0.9581,6.6256
0.9329,1001.0291,-0.0879,7.3018,0.097,0.0035,0.0698,0.0288,0.9581,5.9323
0.9318,1004.110179,0.0038,7.2952,0.194,0.0027,0.0589,-0.0175,0.2146,2.249
0.9337,1001.0291,-0.0715,5.1437,0.096,0.0034,0.0026,-0.0251,0.1966,6.1629
0.9326,1001.2992,-0.0296,1.5433,0.957,0.0044,-0.099,0.0432,0.299,2.2736
0.9342,1006.4114,-0.0539,7.0857,0.077,0.0023,-0.0184,-0.0024,0.8637,2.5613
0.9326,1004.110179,0.0031,2.4405,0.954,0.0067,0.1658,-0.0219,0.3464,2.3742
0.928870646,1009.6011,-0.0356,7.2535,0.133,0.0057,0.1135,-0.0277,0.299,2.4539
0.9318,1004.110179,-0.0233,7.4362,0.178,0.0041,-0.1533,-0.0191,0.2751,2.3183
0.934,1006.4114,-0.0416,1.4817,0.895,0.0026,-0.1275,-0.0956,0.9109,3.3804
0.9329,1000.9017,-0.0622,7.1963,0.177,0.0037,-0.0041,0.0239,0.9581,6.052
0.9329,1000.9017,-0.0819,5.0585,0.085,0.0041,-0.1606,0.0368,0.1966,6.4257
0.9238,1001.0291,-0.0748,0.7555,0.947,0.0026,0.045,0.0031,0.6748,1.6792
0.9329,1000.9017,-0.056,7.1567,0.114,0.0033,0.0968,0.0332,0.9581,6.61
0.9329,995.2842,-0.0768,5.0678,0.056,0.0041,0.0352,0.0706,0.1966,6.3275
0.9326,995.2842,-0.0884,5.1668,0.134,0.0032,0.0121,0.0937,0.2119,2.0809
0.9331,1000.9017,-0.0849,5.0655,0.095,0.0035,-0.1069,0.0269,0.1966,6.2471
0.9332,1009.6011,-0.0456,4.9733,0.106,0.0031,0.1807,0.0172,0.9368,2.2111
0.933,1001.0291,-0.0031,5.136,0.108,0.0051,0.194,0.0156,0.2119,2.3623
0.932,1009.6011,-0.0368,4.9585,0.113,0.0056,-0.0855,0.0204,0.8947,2.5509
0.933,1009.6011,-0.0788,4.9002,0.112,0.0026,-0.2305,-0.0017,0.9368,2.4105
0.9326,1009.6011,-0.0602,7.046,0.107,0.0046,0.1431,0.0067,0.9368,2.3249
0.9343,1000.9017,-0.0892,4.9937,0.126,0.0029,0.0246,-0.0106,0.8947,2.4268
0.934,998.6588,0.0004,7.3165,0.138,0.0029,-0.1748,0.0944,0.2252,2.5631
0.933,1000.9017,-0.0134,5.0742,0.109,0.0031,0.0264,0.026,0.1857,2.5437
0.9324,1001.0291,-0.0785,6.9972,0.155,0.0054,0.0761,0.0255,0.8111,2.4114
0.9291,998.6588,-0.0473,7.3323,0.19,0.0045,-0.0498,0.0861,0.2056,2.2405
0.9332,1000.9017,-0.0598,5.146,0.095,0.0033,0.022,0.0699,0.2119,2.7271
0.934,1001.0291,-0.0594,7.1235,0.067,0.0052,0.04,0.0097,0.8522,3.4849
0.932,1000.9017,-0.0695,5.0185,0.115,0.0032,-0.1603,-0.1081,0.8947,2.4299
0.9326,998.6588,-0.0299,7.1593,0.098,0.0039,-0.046,0.0956,0.9368,2.4696
0.932,1001.0291,-0.0626,7.141,0.126,0.0027,0.0241,0.092,0.8111,2.7049
0.934,1004.2506,-0.0472,7.394,0.062,0.0022,0.0849,0.004,0.3063,3.2474
0.9318,997.0102,-0.0272,7.1273,0.116,0.0035,-0.0234,0.0764,0.1706,2.0856
0.934,998.6588,-0.0573,3.1443,0.073,0.0029,0.053,0.0853,0.2887,3.5349
0.9269,1012.1967,-0.0324,7.264,0.191,0.0037,0.1067,0.09,0.1706,2.4902
0.9291,1007.05,-0.0608,7.033,0.14,0.0028,0.0611,0.0877,0.8522,2.1694
0.9188,1004.4356,-0.0078,7.2305,0.136,0.0031,0.0361,-0.0108,0.9581,3.5003
0.9332,1012.1967,-0.0555,7.0473,0.101,0.0025,0.0341,0.0888,0.9159,2.4173
0.934,1009.6011,-0.0283,7.0875,0.071,0,0,0.0147,0.8522,2.8212
0.9188,1001.6031,-0.0139,7.213,0.153,0.0038,0.0168,-0.109,0.9581,3.1877
0.93,1007.05,-0.0171,7.309,0.111,0.0039,-0.2342,0.0873,0.2252,2.7729
0.9291,1007.05,-0.0437,7.0695,0.15,0.0024,0.1023,0.0905,0.8111,2.0602
0.9315,996.0538,-0.0237,7.1082,0.113,0.0027,-0.0522,-0.0131,0.2198,4.3238
0.9312,1012.3378,0.0001,7.3705,0.284,0.0037,0.049,-0.0261,0.1009,4.0211
0.9206,1007.2276,-0.0109,7.3665,0.152,0.0025,-0.0572,-0.0238,0.3005,2.6365
0.9324,1012.3378,0.0225,7.4295,0.2,0.0015,-0.0131,-0.0181,0.2933,5.0939
0.9322,1011.8856,0.0423,7.3185,0.127,0.0017,0.0521,-0.011,0.4267,1.9125
0.9331,1001.3102,0.0031,7.313,0.256,0.0026,0.0749,-0.0015,0.2465,2.1338
0.9179,1007.2276,-0.0098,7.2843,0.151,0.0017,-0.0014,-0.0115,0.3039,3.9328
0.9334,1000.3791,-0.0026,7.2555,0.163,0.0025,0.1064,-0.0086,0.3699,2.2615
0.9298,1007.6922,0.0019,7.16,0.092,0.0025,-0.0127,-0.0473,0.3085,4.1729
0.9298,1008.8589,0.0082,7.364,0.079,0.0029,-0.0309,-0.031,0.0399,1.5531
0.9267,1006.6856,0.0049,5.0485,0.117,0,0,-0.0134,0.8384,3.744
0.9337,996.0538,-0.0092,7.3208,0.081,0.0027,0.057,-0.0099,0.4044,4.3208
0.9148,1009.8944,-0.0107,7.369,0.083,0.0026,-0.0222,-0.0248,0.3814,3.932
0.9148,1016.53,-0.0101,7.269,0.137,0.0031,0.0719,-0.0258,0.3927,3.7719
0.9327,1007.2276,0.0131,7.2995,0.167,0.0044,0.0191,0.0186,0.3699,4.359
0.9307,1012.3378,0.0203,7.3555,0.099,0.0026,-0.0504,-0.0386,0.8808,5.2749
0.9322,1007.2276,0.0204,7.2583,0.188,0.0028,-0.1476,-0.0255,0.213,2.0361
0.9243,992.7452,0.0377,7.4047,0.15,0.0037,-0.0677,0.0051,0.2199,2.4603
0.9334,1009.8944,-0.0026,7.2877,0.132,0.0022,-0.0343,-0.0115,0.3149,2.5056
0.9224,1007.144,0.0004,7.4195,0.084,0.0032,0.1089,-0.029,0.271,3.6312
0.9213,998.2901,-0.021,7.3197,0.135,0.0029,0.1856,-0.0194,0.2935,3.9639
0.9316,1009.8944,0.0044,7.1137,0.08,0.0039,-0.0637,-0.005,0.1642,2.6258
0.9315,1005.1546,-0.023,7.1775,0.056,0.003159504,-0.001262573,-0.0007,0.3085,1.7908
0.9329,1005.1546,-0.0086,7.4407,0.23,0.0025,0.007,-0.0125,0.5342,5.6065
0.9312,1003.8907,-0.0364,7.273,0.083,0.0028,0.058,-0.0072,0.1009,5.0931
0.9224,1005.1546,-0.0242,7.1285,0.084,0.0024,0.1909,-0.042,0.1431,4.5254
0.9179,1009.8822,-0.0086,7.2278,0.115,0.0049,-0.0238,-0.006,0.3075,3.854
0.9226,1007.144,-0.0015,7.2818,0.006,0.003,-0.1008,-0.0093,0.2182,4.1905
0.9322,1007.144,-0.0117,7.3697,0.108,0.0032,-0.0109,-0.0479,0.2686,2.4602
0.9334,1009.8944,-0.0111,7.2927,0.146,0.0016,0.004,0.0045,0.2379,2.1754
0.931,1016.53,-0.0248,7.268,0.213,0.002,0.0629,-0.0107,0.3039,2.5679
0.9331,1009.8944,0,7.12,0.094,0.0029,-0.1028,0.0057,0.1642,2.585
0.9178,991.3567,-0.0119,7.3025,0.088,0.0024,-0.1246,-0.0606,0.4267,4.0533
